Razão Social,Fundo,Segmento,Código,Concat,,Ontem,Volume Atual,Variação Desde Ontem,Tendências
FDO INV IMOB HOSPITAL UNIMED SUL CAPIXABA,FII H UNIMED,,HUSC,HUSC11,"R$ 137,97",#N/A,7,#N/A,
FDO INV IMOB INDUSTRIAL DO BRASIL,FII INDL BR,,FIIB,FIIB11,"R$ 566,50",#N/A,757,#N/A,
FDO INV IMOB INFRA REAL ESTATE - FII,FII INFRA RE,,FINF,FINF11,"R$ 0,00",#N/A,0,#N/A,#N/A
FDO INV IMOB MEMORIAL OFFICE,FII MEMORIAL,,FMOF,FMOF11,"R$ 90,10",#N/A,3,#N/A,
FDO INV IMOB MERCANTIL DO BRASIL - FII,FII MERC BR,,MBRF,MBRF11,"R$ 1.249,80",#N/A,58,#N/A,
FDO INV IMOB MOGNO FUNDO DE FUNDOS,FII MOGNO,,MGFF,MGFF11,"R$ 124,80",#N/A,36943,#N/A,
FDO INV IMOB MV9 - FII,FII MV9,,MVFI,MVFI11,#N/A,#N/A,#N/A,#N/A,#N/A
FDO INV IMOB NESTPAR - FII,FII NESTPAR,,NPAR,NPAR11,"R$ 122,00",#N/A,0,#N/A,
FDO INV IMOB OURINVEST LOGÍSTICA,FII OURILOG,MB,OULG,OULG11,#N/A,#N/A,#N/A,#N/A,#N/A
FDO INV IMOB PANAMBY,FII PANAMBY,,PABY,PABY11,"R$ 26,00",#N/A,23,#N/A,
FDO INV IMOB PEDRA NEGRA RENDA IMOB,FII P NEGRA,,FPNG,FPNG11,"R$ 0,00",#N/A,0,#N/A,#N/A
FDO INV IMOB POLO ESTOQUE II - FII,FII POLO II,,ESTQ,ESTQ11,#N/A,#N/A,#N/A,#N/A,#N/A
FDO INV IMOB POLO SHOPPING INDAIATUBA,FII POLO SHO,,VPSI,VPSI11,"R$ 0,00",#N/A,0,#N/A,#N/A
FDO INV IMOB PROJETO ÁGUA BRANCA,FII A BRANCA,,FPAB,FPAB11,"R$ 419,99",#N/A,65,#N/A,
FDO INV IMOB RBR ALPHA FUNDOS DE FUNDOS,FII RBRALPHA,,RBRF,RBRF11,"R$ 109,59",#N/A,17649,#N/A,
FDO INV IMOB RBR PRIVATE CRÉDITO IMOB,FII RBR PCRI,,RBRY,RBRY11,"R$ 120,00",#N/A,70,#N/A,
FDO INV IMOB RBR PROPERTIES - FII,FII RBR PROP,,RBRP,RBRP11,"R$ 89,00",#N/A,3581,#N/A,
FDO INV IMOB RIO BRAVO RENDA CORPORATIVA,FII RIOB RC,,RCRB,RCRB11,"R$ 201,99",#N/A,4315,#N/A,
FDO INV IMOB RIO BRAVO RENDA EDUCACIONAL - FII,FII RIOB ED,,RBED,RBED11,"R$ 170,78",#N/A,2099,#N/A,
FDO INV IMOB RIO BRAVO RENDA VAREJO - FII,FII RIOB VA,,RBVA,RBVA11,"R$ 144,94",#N/A,4198,#N/A,
FDO INV IMOB RIO NEGRO - FII,FII RIONEGRO,,RNGO,RNGO11,"R$ 96,50",#N/A,3714,#N/A,
FDO INV IMOB SÃO FERNANDO,FII SAO FER,,SFND,SFND11,"R$ 0,00",#N/A,0,#N/A,#N/A
FDO INV IMOB SC 401,FII SC 401,,FISC,FISC11,"R$ 1.000,00",#N/A,0,#N/A,#N/A
FDO INV IMOB SCP,FII SCP,,SCPF,SCPF11,"R$ 13,40",#N/A,2429,#N/A,
FDO INV IMOB SDI RIO BRAVO RENDA LOGISTICA - FII,FII SDI LOG,,SDIL,SDIL11,"R$ 117,00",#N/A,21118,#N/A,
FDO INV IMOB SHOPPING PÁTIO HIGIENÓPOLIS,FII HIGIENOP,,SHPH,SHPH11,"R$ 941,01",#N/A,84,#N/A,
FDO INV IMOB TG ATIVO REAL,FII TG ATIVO,,TGAR,TGAR11,"R$ 141,98",#N/A,6447,#N/A,
FDO INV IMOB THE ONE,FII THE ONE,,ONEF,ONEF11,"R$ 178,00",#N/A,3346,#N/A,
FDO INV IMOB TOURMALET I,FII TOURMALE,,TORM,TORM11,#N/A,"1,56",#N/A,#N/A,#N/A
FDO INV IMOB TOURMALET II,FII TOUR II,,TOUR,TOUR11,"R$ 105,01","2,49",0,#N/A,
FDO INV IMOB VBI FL 4440 - FII,FII VBI 4440,,FVBI,FVBI11,"R$ 143,00",#N/A,1121,#N/A,
FDO INV IMOB VEREDA - FII,FII VEREDA,,VERE,VERE11,"R$ 263,89","34,59",0,#N/A,
FDO INV IMOB VIA PARQUE SHOPPING - FII,FII V PARQUE,,FVPQ,FVPQ11,"R$ 187,50",#N/A,15185,#N/A,
FDO INV IMOB VIDA NOVA - FII,FII VIDANOVA,,FIVN,FIVN11,"R$ 6,40","69,07",437,#N/A,
FDO INV IMOB VOTORANTIM LOGISTICA,FII VOT LOG,,VTLT,VTLT11,"R$ 113,00",#N/A,3152,#N/A,
